ts	variant	size	seed	init_internal	final_internal	contest_cells	ok
20:49:11	loc12	6	1	None	None	?	FAIL
20:49:11	loc12	6	42	None	None	?	FAIL
20:49:11	loc12	6	13371337	None	None	?	FAIL
20:49:12	loc12	6	7777	None	None	?	FAIL
20:49:12	loc12	6	99	None	None	?	FAIL
20:49:12	loc12	6	31415	None	None	?	FAIL
20:49:12	loc12	6	1024	None	None	?	FAIL
20:49:12	loc12	6	2718	None	None	?	FAIL
20:49:13	loc12	8	42	None	None	?	FAIL
20:49:13	loc12	8	1	None	None	?	FAIL
20:49:13	loc12	8	7777	None	None	?	FAIL
20:49:14	loc12	8	99	None	None	?	FAIL
20:49:14	loc12	8	13371337	None	None	?	FAIL
20:49:14	loc12	8	1024	None	None	?	FAIL
20:49:14	loc12	8	2718	None	None	?	FAIL
20:49:14	loc12	8	31415	None	None	?	FAIL
20:49:15	loc13	6	1	None	None	?	FAIL
20:49:15	loc13	6	42	None	None	?	FAIL
20:49:15	loc13	6	7777	None	None	?	FAIL
20:49:15	loc13	6	99	None	None	?	FAIL
20:49:15	loc13	6	13371337	None	None	?	FAIL
20:49:16	loc13	6	1024	None	None	?	FAIL
20:49:16	loc13	6	31415	None	None	?	FAIL
20:49:16	loc13	6	2718	None	None	?	FAIL
20:49:16	loc13	8	1	None	None	?	FAIL
20:49:16	loc13	8	7777	None	None	?	FAIL
20:49:17	loc13	8	42	None	None	?	FAIL
20:49:17	loc13	8	13371337	None	None	?	FAIL
20:49:17	loc13	8	1024	None	None	?	FAIL
20:49:17	loc13	8	99	None	None	?	FAIL
20:49:17	loc13	8	31415	None	None	?	FAIL
20:49:17	loc13	8	2718	None	None	?	FAIL
20:49:18	loc14	6	1	None	None	?	FAIL
20:49:18	loc14	6	7777	None	None	?	FAIL
20:49:18	loc14	6	42	None	None	?	FAIL
20:49:18	loc14	6	13371337	None	None	?	FAIL
20:49:18	loc14	6	99	None	None	?	FAIL
20:49:18	loc14	6	1024	None	None	?	FAIL
20:49:19	loc14	6	2718	None	None	?	FAIL
20:49:19	loc14	6	31415	None	None	?	FAIL
20:49:19	loc14	8	1	None	None	?	FAIL
20:49:19	loc14	8	7777	None	None	?	FAIL
20:49:19	loc14	8	42	None	None	?	FAIL
20:49:20	loc14	8	13371337	None	None	?	FAIL
20:49:20	loc14	8	99	None	None	?	FAIL
20:49:20	loc14	8	1024	None	None	?	FAIL
20:49:20	loc14	8	2718	None	None	?	FAIL
20:49:21	loc14	8	31415	None	None	?	FAIL
20:49:21	loc15	6	1	None	None	?	FAIL
20:49:21	loc15	6	42	None	None	?	FAIL
20:49:21	loc15	6	7777	None	None	?	FAIL
20:49:22	loc15	6	99	None	None	?	FAIL
20:49:22	loc15	6	13371337	None	None	?	FAIL
20:49:22	loc15	6	1024	None	None	?	FAIL
20:49:22	loc15	6	31415	None	None	?	FAIL
20:49:23	loc15	6	2718	None	None	?	FAIL
20:49:23	loc15	8	1	None	None	?	FAIL
20:49:23	loc15	8	42	None	None	?	FAIL
20:49:24	loc15	8	13371337	None	None	?	FAIL
20:49:24	loc15	8	7777	None	None	?	FAIL
20:49:24	loc15	8	99	None	None	?	FAIL
20:49:25	loc15	8	31415	None	None	?	FAIL
20:49:25	loc15	8	1024	None	None	?	FAIL
20:49:25	loc15	8	2718	None	None	?	FAIL
20:52:27	loc12	6	1	64	60	68	OK
20:52:32	loc12	6	42	64	60	66	OK
