ts	variant	size	seed	init_internal	final_internal	contest_cells	ok
21:10:00	loc0	6	42	None	None	?	FAIL
21:10:00	loc0	6	7777	None	None	?	FAIL
21:10:00	loc0	6	1	None	None	?	FAIL
21:10:01	loc0	6	99	None	None	?	FAIL
21:10:01	loc0	6	13371337	None	None	?	FAIL
21:10:02	loc0	6	31415	None	None	?	FAIL
21:10:02	loc0	6	1024	None	None	?	FAIL
21:10:02	loc0	6	2718	None	None	?	FAIL
21:10:02	loc0	8	1	None	None	?	FAIL
21:10:03	loc0	8	42	None	None	?	FAIL
21:10:03	loc0	8	7777	None	None	?	FAIL
21:10:03	loc0	8	13371337	None	None	?	FAIL
21:10:03	loc0	8	99	None	None	?	FAIL
21:10:04	loc0	8	1024	None	None	?	FAIL
21:10:04	loc0	8	31415	None	None	?	FAIL
21:10:04	loc0	8	2718	None	None	?	FAIL
21:10:04	loc1	6	1	None	None	?	FAIL
21:10:05	loc1	6	7777	None	None	?	FAIL
21:10:05	loc1	6	42	None	None	?	FAIL
21:10:05	loc1	6	13371337	None	None	?	FAIL
21:10:05	loc1	6	1024	None	None	?	FAIL
21:10:06	loc1	6	99	None	None	?	FAIL
21:10:06	loc1	6	31415	None	None	?	FAIL
21:10:06	loc1	6	2718	None	None	?	FAIL
21:10:06	loc1	8	42	None	None	?	FAIL
21:10:07	loc1	8	1	None	None	?	FAIL
21:10:07	loc1	8	7777	None	None	?	FAIL
21:10:07	loc1	8	13371337	None	None	?	FAIL
21:10:07	loc1	8	99	None	None	?	FAIL
21:10:08	loc1	8	1024	None	None	?	FAIL
21:10:08	loc1	8	31415	None	None	?	FAIL
21:10:08	loc2	6	1	None	None	?	FAIL
21:10:08	loc1	8	2718	None	None	?	FAIL
21:10:09	loc2	6	42	None	None	?	FAIL
21:10:09	loc2	6	13371337	None	None	?	FAIL
21:10:10	loc2	6	7777	None	None	?	FAIL
21:10:10	loc2	6	99	None	None	?	FAIL
21:10:10	loc2	6	1024	None	None	?	FAIL
21:10:11	loc2	6	31415	None	None	?	FAIL
21:10:11	loc2	6	2718	None	None	?	FAIL
21:10:11	loc2	8	1	None	None	?	FAIL
21:10:11	loc2	8	7777	None	None	?	FAIL
21:10:11	loc2	8	13371337	None	None	?	FAIL
21:10:12	loc2	8	42	None	None	?	FAIL
21:10:12	loc2	8	1024	None	None	?	FAIL
21:10:13	loc2	8	99	None	None	?	FAIL
21:10:13	loc2	8	2718	None	None	?	FAIL
21:10:13	loc2	8	31415	None	None	?	FAIL
21:10:14	loc3	6	42	None	None	?	FAIL
21:10:14	loc3	6	1	None	None	?	FAIL
21:10:14	loc3	6	7777	None	None	?	FAIL
21:10:14	loc3	6	13371337	None	None	?	FAIL
21:10:15	loc3	6	99	None	None	?	FAIL
21:10:15	loc3	6	31415	None	None	?	FAIL
21:10:15	loc3	6	1024	None	None	?	FAIL
21:10:16	loc3	8	42	None	None	?	FAIL
21:10:17	loc3	6	2718	None	None	?	FAIL
21:10:17	loc3	8	1	None	None	?	FAIL
21:10:17	loc3	8	7777	None	None	?	FAIL
21:10:18	loc3	8	13371337	None	None	?	FAIL
21:10:18	loc3	8	1024	None	None	?	FAIL
21:10:19	loc3	8	31415	None	None	?	FAIL
21:10:19	loc3	8	2718	None	None	?	FAIL
21:10:19	loc3	8	99	None	None	?	FAIL
21:10:20	loc4	6	42	None	None	?	FAIL
21:10:20	loc4	6	1	None	None	?	FAIL
21:10:21	loc4	6	13371337	None	None	?	FAIL
21:10:21	loc4	6	99	None	None	?	FAIL
21:10:21	loc4	6	7777	None	None	?	FAIL
21:10:21	loc4	6	31415	None	None	?	FAIL
21:10:22	loc4	6	1024	None	None	?	FAIL
21:10:22	loc4	6	2718	None	None	?	FAIL
21:10:22	loc4	8	42	None	None	?	FAIL
21:10:22	loc4	8	7777	None	None	?	FAIL
21:10:23	loc4	8	1	None	None	?	FAIL
21:10:23	loc4	8	13371337	None	None	?	FAIL
21:10:24	loc4	8	99	None	None	?	FAIL
21:10:24	loc4	8	1024	None	None	?	FAIL
21:10:24	loc4	8	31415	None	None	?	FAIL
21:10:25	loc4	8	2718	None	None	?	FAIL
21:10:25	loc5	6	42	None	None	?	FAIL
21:10:26	loc5	6	1	None	None	?	FAIL
21:10:26	loc5	6	7777	None	None	?	FAIL
21:10:27	loc5	6	13371337	None	None	?	FAIL
21:10:27	loc5	6	99	None	None	?	FAIL
21:10:27	loc5	6	1024	None	None	?	FAIL
21:10:28	loc5	6	31415	None	None	?	FAIL
21:10:28	loc5	6	2718	None	None	?	FAIL
21:10:28	loc5	8	1	None	None	?	FAIL
21:10:29	loc5	8	42	None	None	?	FAIL
21:10:29	loc5	8	13371337	None	None	?	FAIL
21:10:29	loc5	8	7777	None	None	?	FAIL
21:10:30	loc5	8	1024	None	None	?	FAIL
21:10:30	loc5	8	31415	None	None	?	FAIL
21:10:30	loc5	8	99	None	None	?	FAIL
21:10:31	loc5	8	2718	None	None	?	FAIL
21:10:31	loc6	6	1	None	None	?	FAIL
21:10:32	loc6	6	42	None	None	?	FAIL
21:10:32	loc6	6	7777	None	None	?	FAIL
21:10:32	loc6	6	13371337	None	None	?	FAIL
21:10:33	loc6	6	99	None	None	?	FAIL
21:10:33	loc6	6	1024	None	None	?	FAIL
21:10:33	loc6	6	31415	None	None	?	FAIL
21:10:33	loc6	6	2718	None	None	?	FAIL
21:10:34	loc6	8	1	None	None	?	FAIL
21:10:34	loc6	8	7777	None	None	?	FAIL
21:10:34	loc6	8	42	None	None	?	FAIL
21:10:35	loc6	8	13371337	None	None	?	FAIL
21:10:35	loc6	8	31415	None	None	?	FAIL
21:10:35	loc6	8	99	None	None	?	FAIL
21:10:35	loc6	8	1024	None	None	?	FAIL
21:10:36	loc7	6	1	None	None	?	FAIL
21:10:37	loc6	8	2718	None	None	?	FAIL
21:10:37	loc7	6	7777	None	None	?	FAIL
21:10:37	loc7	6	42	None	None	?	FAIL
21:10:38	loc7	6	99	None	None	?	FAIL
21:10:38	loc7	6	13371337	None	None	?	FAIL
21:10:39	loc7	6	1024	None	None	?	FAIL
21:10:39	loc7	6	2718	None	None	?	FAIL
21:10:39	loc7	6	31415	None	None	?	FAIL
21:10:40	loc7	8	1	None	None	?	FAIL
21:10:40	loc7	8	42	None	None	?	FAIL
21:10:40	loc7	8	7777	None	None	?	FAIL
21:10:40	loc7	8	13371337	None	None	?	FAIL
21:10:41	loc7	8	99	None	None	?	FAIL
21:10:41	loc7	8	1024	None	None	?	FAIL
21:10:42	loc7	8	2718	None	None	?	FAIL
21:10:42	loc7	8	31415	None	None	?	FAIL
21:10:42	loc8	6	1	None	None	?	FAIL
21:10:43	loc8	6	13371337	None	None	?	FAIL
21:10:43	loc8	6	42	None	None	?	FAIL
21:10:43	loc8	6	7777	None	None	?	FAIL
21:10:44	loc8	6	1024	None	None	?	FAIL
21:10:44	loc8	6	99	None	None	?	FAIL
21:10:44	loc8	6	31415	None	None	?	FAIL
21:10:45	loc8	6	2718	None	None	?	FAIL
21:10:45	loc8	8	1	None	None	?	FAIL
21:10:45	loc8	8	42	None	None	?	FAIL
21:10:46	loc8	8	7777	None	None	?	FAIL
21:10:46	loc8	8	99	None	None	?	FAIL
21:10:46	loc8	8	13371337	None	None	?	FAIL
21:10:47	loc8	8	2718	None	None	?	FAIL
21:10:47	loc8	8	1024	None	None	?	FAIL
21:10:47	loc8	8	31415	None	None	?	FAIL
21:10:48	loc9	6	1	None	None	?	FAIL
21:10:49	loc9	6	7777	None	None	?	FAIL
21:10:49	loc9	6	42	None	None	?	FAIL
21:10:49	loc9	6	13371337	None	None	?	FAIL
21:10:49	loc9	6	1024	None	None	?	FAIL
21:10:50	loc9	6	99	None	None	?	FAIL
21:10:50	loc9	6	2718	None	None	?	FAIL
21:10:50	loc9	6	31415	None	None	?	FAIL
21:10:51	loc9	8	1	None	None	?	FAIL
21:10:51	loc9	8	42	None	None	?	FAIL
21:10:51	loc9	8	7777	None	None	?	FAIL
21:10:51	loc9	8	13371337	None	None	?	FAIL
21:10:52	loc9	8	99	None	None	?	FAIL
21:10:52	loc9	8	31415	None	None	?	FAIL
21:10:53	loc9	8	1024	None	None	?	FAIL
21:10:53	loc10	6	1	None	None	?	FAIL
21:10:53	loc9	8	2718	None	None	?	FAIL
21:10:54	loc10	6	42	None	None	?	FAIL
21:10:55	loc10	6	7777	None	None	?	FAIL
21:10:55	loc10	6	13371337	None	None	?	FAIL
21:10:55	loc10	6	99	None	None	?	FAIL
21:10:55	loc10	6	1024	None	None	?	FAIL
21:10:56	loc10	6	2718	None	None	?	FAIL
21:10:57	loc10	8	1	None	None	?	FAIL
21:10:57	loc10	6	31415	None	None	?	FAIL
21:10:58	loc10	8	42	None	None	?	FAIL
21:10:58	loc10	8	13371337	None	None	?	FAIL
21:10:58	loc10	8	7777	None	None	?	FAIL
21:10:59	loc10	8	99	None	None	?	FAIL
21:10:59	loc10	8	1024	None	None	?	FAIL
21:10:59	loc10	8	31415	None	None	?	FAIL
21:11:00	loc10	8	2718	None	None	?	FAIL
21:11:00	loc11	6	1	None	None	?	FAIL
21:11:01	loc11	6	42	None	None	?	FAIL
21:11:01	loc11	6	7777	None	None	?	FAIL
21:11:01	loc11	6	13371337	None	None	?	FAIL
21:11:02	loc11	6	99	None	None	?	FAIL
21:11:03	loc11	6	1024	None	None	?	FAIL
21:11:03	loc11	6	31415	None	None	?	FAIL
21:11:03	loc11	8	1	None	None	?	FAIL
21:11:04	loc11	6	2718	None	None	?	FAIL
21:11:04	loc11	8	42	None	None	?	FAIL
21:11:05	loc11	8	7777	None	None	?	FAIL
21:11:05	loc11	8	13371337	None	None	?	FAIL
21:11:05	loc11	8	99	None	None	?	FAIL
21:11:06	loc11	8	31415	None	None	?	FAIL
21:11:06	loc11	8	2718	None	None	?	FAIL
21:11:07	loc11	8	1024	None	None	?	FAIL
21:11:07	loc12	6	42	None	None	?	FAIL
21:11:07	loc12	6	1	None	None	?	FAIL
21:11:08	loc12	6	7777	None	None	?	FAIL
21:11:08	loc12	6	99	None	None	?	FAIL
21:11:08	loc12	6	1024	None	None	?	FAIL
21:11:09	loc12	6	13371337	None	None	?	FAIL
21:11:10	loc12	8	1	None	None	?	FAIL
21:11:10	loc12	6	31415	None	None	?	FAIL
21:11:10	loc12	6	2718	None	None	?	FAIL
21:11:11	loc12	8	13371337	None	None	?	FAIL
21:11:11	loc12	8	42	None	None	?	FAIL
21:11:12	loc12	8	7777	None	None	?	FAIL
21:11:13	loc12	8	1024	None	None	?	FAIL
21:11:13	loc12	8	99	None	None	?	FAIL
21:11:14	loc12	8	2718	None	None	?	FAIL
21:11:14	loc12	8	31415	None	None	?	FAIL
21:11:14	loc13	6	1	None	None	?	FAIL
21:11:15	loc13	6	7777	None	None	?	FAIL
21:11:15	loc13	6	42	None	None	?	FAIL
21:11:15	loc13	6	13371337	None	None	?	FAIL
21:11:15	loc13	6	99	None	None	?	FAIL
21:11:16	loc13	6	1024	None	None	?	FAIL
21:11:16	loc13	6	31415	None	None	?	FAIL
21:11:16	loc13	6	2718	None	None	?	FAIL
21:11:17	loc13	8	42	None	None	?	FAIL
21:11:17	loc13	8	1	None	None	?	FAIL
21:11:18	loc13	8	7777	None	None	?	FAIL
21:11:18	loc13	8	99	None	None	?	FAIL
21:11:18	loc13	8	13371337	None	None	?	FAIL
21:11:19	loc13	8	31415	None	None	?	FAIL
21:11:19	loc13	8	1024	None	None	?	FAIL
21:11:19	loc13	8	2718	None	None	?	FAIL
21:11:20	loc14	6	1	None	None	?	FAIL
21:11:20	loc14	6	7777	None	None	?	FAIL
21:11:20	loc14	6	42	None	None	?	FAIL
21:11:21	loc14	6	13371337	None	None	?	FAIL
21:11:21	loc14	6	1024	None	None	?	FAIL
21:11:21	loc14	6	99	None	None	?	FAIL
21:11:22	loc14	6	31415	None	None	?	FAIL
21:11:22	loc14	8	1	None	None	?	FAIL
21:11:22	loc14	6	2718	None	None	?	FAIL
21:11:23	loc14	8	42	None	None	?	FAIL
21:11:23	loc14	8	13371337	None	None	?	FAIL
21:11:24	loc14	8	7777	None	None	?	FAIL
21:11:24	loc14	8	99	None	None	?	FAIL
21:11:24	loc14	8	1024	None	None	?	FAIL
21:11:25	loc14	8	2718	None	None	?	FAIL
21:11:25	loc14	8	31415	None	None	?	FAIL
21:19:47	loc0	6	1	63	59	65	OK
21:19:47	loc0	6	42	63	59	65	OK
21:21:24	loc0	6	7777	63	59	65	OK
21:21:30	loc0	6	13371337	63	60	66	OK
21:22:58	loc0	6	99	63	58	66	OK
21:23:09	loc0	6	1024	63	58	64	OK
