ts	variant	size	seed	init_internal	final_internal	contest_cells	ok
02:48:48	loc0	6	1	63	58	64	OK
02:50:19	loc0	6	42	63	58	66	OK
02:51:50	loc0	6	7777	63	58	65	OK
02:53:21	loc0	6	13371337	63	58	65	OK
02:54:51	loc0	6	99	63	58	64	OK
02:56:22	loc0	6	1024	63	58	65	OK
02:57:53	loc0	6	31415	63	58	65	OK
02:59:24	loc0	6	2718	63	58	64	OK
03:01:24	loc0	8	1	None	None	?	FAIL
03:03:24	loc0	8	42	None	None	?	FAIL
03:05:24	loc0	8	7777	None	None	?	FAIL
03:07:17	loc0	8	13371337	63	61	64	OK
03:09:17	loc0	8	99	None	None	?	FAIL
03:11:17	loc0	8	1024	None	None	?	FAIL
03:13:04	loc0	8	31415	63	61	66	OK
03:15:04	loc0	8	2718	None	None	?	FAIL
03:16:36	loc1	6	1	64	59	65	OK
03:18:06	loc1	6	42	64	58	64	OK
03:19:37	loc1	6	7777	64	59	65	OK
03:21:08	loc1	6	13371337	64	59	65	OK
03:22:38	loc1	6	99	64	58	66	OK
03:24:10	loc1	6	1024	64	58	66	OK
03:25:40	loc1	6	31415	64	58	65	OK
03:27:10	loc1	6	2718	64	58	65	OK
03:28:46	loc1	8	1	64	62	65	OK
03:30:46	loc1	8	42	None	None	?	FAIL
03:32:19	loc1	8	7777	64	63	65	OK
03:34:05	loc1	8	13371337	64	63	65	OK
03:35:39	loc1	8	99	64	63	64	OK
03:37:39	loc1	8	1024	None	None	?	FAIL
03:39:22	loc1	8	31415	64	64	64	OK
03:41:21	loc1	8	2718	64	64	64	OK
03:42:51	loc2	6	1	64	58	67	OK
03:44:21	loc2	6	42	64	58	66	OK
03:45:52	loc2	6	7777	64	58	64	OK
03:47:22	loc2	6	13371337	64	58	66	OK
03:48:53	loc2	6	99	64	58	66	OK
03:50:23	loc2	6	1024	64	58	66	OK
03:51:53	loc2	6	31415	64	58	66	OK
03:53:24	loc2	6	2718	64	58	64	OK
03:54:56	loc2	8	1	64	62	65	OK
03:56:56	loc2	8	42	None	None	?	FAIL
03:58:33	loc2	8	7777	64	63	65	OK
04:00:34	loc2	8	13371337	None	None	?	FAIL
04:02:24	loc2	8	99	64	61	64	OK
04:04:05	loc2	8	1024	64	63	64	OK
04:05:49	loc2	8	31415	64	59	65	OK
04:07:49	loc2	8	2718	None	None	?	FAIL
04:09:20	loc3	6	1	64	59	65	OK
04:10:50	loc3	6	42	64	59	67	OK
04:12:20	loc3	6	7777	64	58	65	OK
04:13:51	loc3	6	13371337	64	58	64	OK
04:15:22	loc3	6	99	64	58	64	OK
04:16:53	loc3	6	1024	64	58	65	OK
04:18:24	loc3	6	31415	64	59	68	OK
04:19:54	loc3	6	2718	64	58	70	OK
04:21:55	loc3	8	1	None	None	?	FAIL
04:23:55	loc3	8	42	None	None	?	FAIL
04:25:55	loc3	8	7777	None	None	?	FAIL
04:27:55	loc3	8	13371337	None	None	?	FAIL
04:29:31	loc3	8	99	64	63	64	OK
04:31:15	loc3	8	1024	64	63	64	OK
04:33:15	loc3	8	31415	None	None	?	FAIL
04:35:15	loc3	8	2718	None	None	?	FAIL
04:36:45	loc4	6	1	64	58	66	OK
04:38:16	loc4	6	42	64	58	65	OK
04:39:47	loc4	6	7777	64	58	65	OK
04:41:17	loc4	6	13371337	64	58	67	OK
04:42:47	loc4	6	99	64	58	65	OK
04:44:18	loc4	6	1024	64	58	67	OK
04:45:48	loc4	6	31415	64	59	66	OK
04:47:19	loc4	6	2718	64	58	65	OK
04:49:06	loc4	8	1	64	63	65	OK
04:50:58	loc4	8	42	64	63	65	OK
04:52:58	loc4	8	7777	None	None	?	FAIL
04:54:48	loc4	8	13371337	64	63	65	OK
04:56:44	loc4	8	99	64	61	65	OK
04:58:44	loc4	8	1024	None	None	?	FAIL
05:00:45	loc4	8	31415	None	None	?	FAIL
05:02:27	loc4	8	2718	64	63	64	OK
05:03:58	loc5	6	1	64	58	66	OK
05:05:28	loc5	6	42	64	59	70	OK
05:06:58	loc5	6	7777	64	59	67	OK
05:08:29	loc5	6	13371337	64	59	67	OK
05:10:00	loc5	6	99	64	58	66	OK
05:11:30	loc5	6	1024	64	59	68	OK
05:13:01	loc5	6	31415	64	58	66	OK
05:14:34	loc5	6	2718	64	59	67	OK
05:16:34	loc5	8	1	None	None	?	FAIL
05:18:22	loc5	8	42	64	61	64	OK
05:19:56	loc5	8	7777	64	63	65	OK
05:21:40	loc5	8	13371337	64	62	65	OK
05:23:12	loc5	8	99	64	63	64	OK
05:25:12	loc5	8	1024	None	None	?	FAIL
05:26:45	loc5	8	31415	64	63	64	OK
05:28:21	loc5	8	2718	64	63	64	OK
05:29:52	loc6	6	1	64	58	66	OK
05:31:23	loc6	6	42	64	58	66	OK
05:32:54	loc6	6	7777	64	58	66	OK
05:34:25	loc6	6	13371337	64	59	66	OK
05:35:55	loc6	6	99	64	59	68	OK
05:37:25	loc6	6	1024	64	58	66	OK
05:38:56	loc6	6	31415	64	59	69	OK
05:40:27	loc6	6	2718	64	59	66	OK
05:42:12	loc6	8	1	64	59	63	OK
05:43:51	loc6	8	42	64	62	64	OK
05:45:51	loc6	8	7777	None	None	?	FAIL
05:47:30	loc6	8	13371337	64	62	65	OK
05:49:11	loc6	8	99	64	63	64	OK
05:51:11	loc6	8	1024	None	None	?	FAIL
05:53:12	loc6	8	31415	None	None	?	FAIL
05:55:06	loc6	8	2718	64	63	65	OK
05:56:36	loc7	6	1	64	59	66	OK
05:58:06	loc7	6	42	64	58	65	OK
05:59:37	loc7	6	7777	64	58	66	OK
