ts	size	seed	init_internal	final_internal	contest_cells	ok
02:51:19	10	1	63	63	63	OK
02:55:20	10	42	63	63	63	OK
02:59:23	10	7777	63	62	66	OK
03:03:24	10	13371337	63	63	63	OK
03:07:26	10	99	63	63	63	OK
03:11:29	10	1024	63	62	63	OK
03:16:00	10	31415	None	None	?	FAIL
03:20:30	10	2718	None	None	?	FAIL
03:24:44	12	1	63	63	63	OK
03:28:53	12	42	63	63	63	OK
03:33:08	12	7777	63	63	63	OK
03:37:10	12	13371337	63	63	63	OK
03:41:40	12	99	None	None	?	FAIL
03:45:45	12	1024	63	63	63	OK
03:49:50	12	31415	63	63	63	OK
03:54:20	12	2718	None	None	?	FAIL
03:58:22	14	1	63	63	63	OK
04:02:39	14	42	63	63	63	OK
04:06:54	14	7777	63	63	63	OK
04:11:04	14	13371337	63	63	63	OK
04:15:34	14	99	None	None	?	FAIL
04:19:52	14	1024	63	63	63	OK
04:24:00	14	31415	63	63	63	OK
04:28:31	14	2718	None	None	?	FAIL
