ts	variant	size	seed	init_internal	final_internal	contest_cells	ok
21:10:35	nelim0_w_21	6	42	None	None	?	FAIL
21:10:35	nelim0_w_21	6	1	None	None	?	FAIL
21:10:36	nelim0_w_21	6	13371337	None	None	?	FAIL
21:10:36	nelim0_w_21	6	7777	None	None	?	FAIL
21:10:37	nelim0_w_21	6	99	None	None	?	FAIL
21:10:37	nelim0_w_21	6	1024	None	None	?	FAIL
21:10:38	nelim0_w_21	6	2718	None	None	?	FAIL
21:10:39	nelim0_w_21	6	31415	None	None	?	FAIL
21:10:39	nelim0_w_21	8	1	None	None	?	FAIL
21:10:40	nelim0_w_21	8	42	None	None	?	FAIL
21:10:40	nelim0_w_21	8	7777	None	None	?	FAIL
21:10:41	nelim0_w_21	8	13371337	None	None	?	FAIL
21:10:41	nelim0_w_21	8	99	None	None	?	FAIL
21:10:42	nelim0_w_21	8	1024	None	None	?	FAIL
21:10:43	nelim0_w_21	8	31415	None	None	?	FAIL
21:10:44	nelim0_w_21	8	2718	None	None	?	FAIL
21:10:44	nelim0_w_21	10	1	None	None	?	FAIL
21:10:44	nelim0_w_21	10	42	None	None	?	FAIL
21:10:45	nelim0_w_21	10	7777	None	None	?	FAIL
21:10:46	nelim0_w_21	10	13371337	None	None	?	FAIL
21:10:46	nelim0_w_21	10	99	None	None	?	FAIL
21:10:46	nelim0_w_21	10	1024	None	None	?	FAIL
21:10:47	nelim0_w_21	10	31415	None	None	?	FAIL
21:10:48	nelim0_w_21	10	2718	None	None	?	FAIL
21:10:48	nelim1_w_25	6	1	None	None	?	FAIL
21:10:49	nelim1_w_25	6	42	None	None	?	FAIL
21:10:49	nelim1_w_25	6	13371337	None	None	?	FAIL
21:10:50	nelim1_w_25	6	7777	None	None	?	FAIL
21:10:50	nelim1_w_25	6	99	None	None	?	FAIL
21:10:51	nelim1_w_25	6	1024	None	None	?	FAIL
21:10:52	nelim1_w_25	6	31415	None	None	?	FAIL
21:10:52	nelim1_w_25	6	2718	None	None	?	FAIL
21:10:53	nelim1_w_25	8	42	None	None	?	FAIL
21:10:53	nelim1_w_25	8	1	None	None	?	FAIL
21:10:54	nelim1_w_25	8	7777	None	None	?	FAIL
21:10:55	nelim1_w_25	8	13371337	None	None	?	FAIL
21:10:56	nelim1_w_25	8	99	None	None	?	FAIL
21:10:56	nelim1_w_25	8	1024	None	None	?	FAIL
21:10:57	nelim1_w_25	8	2718	None	None	?	FAIL
21:10:58	nelim1_w_25	8	31415	None	None	?	FAIL
21:10:58	nelim1_w_25	10	1	None	None	?	FAIL
21:10:59	nelim1_w_25	10	7777	None	None	?	FAIL
21:10:59	nelim1_w_25	10	42	None	None	?	FAIL
21:11:00	nelim1_w_25	10	99	None	None	?	FAIL
21:11:01	nelim1_w_25	10	13371337	None	None	?	FAIL
21:11:02	nelim1_w_25	10	1024	None	None	?	FAIL
21:11:02	nelim1_w_25	10	31415	None	None	?	FAIL
21:11:03	nelim2_w_19	6	1	None	None	?	FAIL
21:11:04	nelim1_w_25	10	2718	None	None	?	FAIL
21:11:04	nelim2_w_19	6	42	None	None	?	FAIL
21:11:05	nelim2_w_19	6	13371337	None	None	?	FAIL
21:11:05	nelim2_w_19	6	7777	None	None	?	FAIL
21:11:06	nelim2_w_19	6	99	None	None	?	FAIL
21:11:07	nelim2_w_19	6	1024	None	None	?	FAIL
21:11:08	nelim2_w_19	6	31415	None	None	?	FAIL
21:11:09	nelim2_w_19	6	2718	None	None	?	FAIL
21:11:09	nelim2_w_19	8	1	None	None	?	FAIL
21:11:10	nelim2_w_19	8	42	None	None	?	FAIL
21:11:10	nelim2_w_19	8	7777	None	None	?	FAIL
21:11:11	nelim2_w_19	8	13371337	None	None	?	FAIL
21:11:12	nelim2_w_19	8	99	None	None	?	FAIL
21:11:12	nelim2_w_19	8	1024	None	None	?	FAIL
21:11:13	nelim2_w_19	8	31415	None	None	?	FAIL
21:11:14	nelim2_w_19	8	2718	None	None	?	FAIL
21:11:14	nelim2_w_19	10	42	None	None	?	FAIL
21:11:15	nelim2_w_19	10	1	None	None	?	FAIL
21:11:15	nelim2_w_19	10	7777	None	None	?	FAIL
21:11:16	nelim2_w_19	10	13371337	None	None	?	FAIL
21:11:16	nelim2_w_19	10	99	None	None	?	FAIL
21:11:17	nelim2_w_19	10	1024	None	None	?	FAIL
21:11:17	nelim2_w_19	10	31415	None	None	?	FAIL
21:11:18	nelim3_w_10	6	1	None	None	?	FAIL
21:11:18	nelim2_w_19	10	2718	None	None	?	FAIL
21:11:19	nelim3_w_10	6	42	None	None	?	FAIL
21:11:19	nelim3_w_10	6	7777	None	None	?	FAIL
21:11:19	nelim3_w_10	6	13371337	None	None	?	FAIL
