ts	variant	size	seed	init_internal	final_internal	contest_cells	ok
02:49:18	nelim0_w_46	6	1	63	58	65	OK
02:51:19	nelim0_w_46	6	42	63	58	65	OK
02:53:19	nelim0_w_46	6	7777	63	58	64	OK
02:55:20	nelim0_w_46	6	13371337	63	58	65	OK
02:57:20	nelim0_w_46	6	99	63	58	65	OK
02:59:21	nelim0_w_46	6	1024	63	58	65	OK
03:01:21	nelim0_w_46	6	31415	63	58	64	OK
03:03:22	nelim0_w_46	6	2718	63	58	64	OK
03:05:41	nelim0_w_46	8	1	63	62	63	OK
03:08:00	nelim0_w_46	8	42	63	59	64	OK
03:10:30	nelim0_w_46	8	7777	None	None	?	FAIL
03:12:46	nelim0_w_46	8	13371337	63	60	64	OK
03:15:16	nelim0_w_46	8	99	None	None	?	FAIL
03:17:46	nelim0_w_46	8	1024	None	None	?	FAIL
03:20:04	nelim0_w_46	8	31415	63	60	65	OK
03:22:13	nelim0_w_46	8	2718	63	61	63	OK
03:24:14	nelim1_w_20	6	1	63	58	65	OK
03:26:15	nelim1_w_20	6	42	63	58	66	OK
03:28:15	nelim1_w_20	6	7777	63	58	66	OK
03:30:15	nelim1_w_20	6	13371337	63	58	64	OK
03:32:16	nelim1_w_20	6	99	63	58	64	OK
03:34:16	nelim1_w_20	6	1024	63	58	67	OK
03:36:17	nelim1_w_20	6	31415	63	58	65	OK
03:38:18	nelim1_w_20	6	2718	63	58	65	OK
03:40:38	nelim1_w_20	8	1	63	58	64	OK
03:42:42	nelim1_w_20	8	42	63	60	64	OK
03:44:58	nelim1_w_20	8	7777	63	61	66	OK
03:47:18	nelim1_w_20	8	13371337	63	63	63	OK
03:49:35	nelim1_w_20	8	99	63	62	65	OK
03:52:05	nelim1_w_20	8	1024	None	None	?	FAIL
03:54:06	nelim1_w_20	8	31415	63	63	63	OK
03:56:36	nelim1_w_20	8	2718	None	None	?	FAIL
03:58:36	nelim2_w_18	6	1	63	58	66	OK
04:00:37	nelim2_w_18	6	42	63	58	65	OK
04:02:37	nelim2_w_18	6	7777	63	58	64	OK
04:04:38	nelim2_w_18	6	13371337	63	58	65	OK
04:06:38	nelim2_w_18	6	99	63	58	66	OK
04:08:38	nelim2_w_18	6	1024	63	58	66	OK
04:10:39	nelim2_w_18	6	31415	63	58	67	OK
04:12:40	nelim2_w_18	6	2718	63	58	65	OK
04:15:10	nelim2_w_18	8	1	None	None	?	FAIL
04:17:15	nelim2_w_18	8	42	63	60	64	OK
04:19:45	nelim2_w_18	8	7777	None	None	?	FAIL
04:22:15	nelim2_w_18	8	13371337	None	None	?	FAIL
04:24:45	nelim2_w_18	8	99	None	None	?	FAIL
04:27:16	nelim2_w_18	8	1024	None	None	?	FAIL
04:29:16	nelim2_w_18	8	31415	63	63	63	OK
04:31:24	nelim2_w_18	8	2718	63	60	64	OK
04:33:25	nelim3_w_45	6	1	63	58	66	OK
04:35:25	nelim3_w_45	6	42	63	58	65	OK
04:37:26	nelim3_w_45	6	7777	63	58	65	OK
04:39:26	nelim3_w_45	6	13371337	63	58	65	OK
04:41:27	nelim3_w_45	6	99	63	58	65	OK
04:43:28	nelim3_w_45	6	1024	63	58	68	OK
04:45:29	nelim3_w_45	6	31415	63	58	64	OK
04:47:29	nelim3_w_45	6	2718	63	58	64	OK
04:49:59	nelim3_w_45	8	1	None	None	?	FAIL
04:52:09	nelim3_w_45	8	42	63	61	63	OK
04:54:14	nelim3_w_45	8	7777	63	62	64	OK
04:56:44	nelim3_w_45	8	13371337	None	None	?	FAIL
04:58:51	nelim3_w_45	8	99	63	61	63	OK
05:01:21	nelim3_w_45	8	1024	None	None	?	FAIL
05:03:47	nelim3_w_45	8	31415	63	60	64	OK
05:05:59	nelim3_w_45	8	2718	63	62	63	OK
05:07:59	nelim4_w_22	6	1	63	58	65	OK
05:10:00	nelim4_w_22	6	42	63	58	66	OK
05:12:00	nelim4_w_22	6	7777	63	58	65	OK
05:14:01	nelim4_w_22	6	13371337	63	58	64	OK
05:16:01	nelim4_w_22	6	99	63	58	65	OK
05:18:01	nelim4_w_22	6	1024	63	58	66	OK
05:20:02	nelim4_w_22	6	31415	63	58	66	OK
05:22:03	nelim4_w_22	6	2718	63	58	64	OK
05:24:33	nelim4_w_22	8	1	None	None	?	FAIL
05:27:03	nelim4_w_22	8	42	None	None	?	FAIL
05:29:09	nelim4_w_22	8	7777	63	63	63	OK
05:31:20	nelim4_w_22	8	13371337	63	62	63	OK
05:33:42	nelim4_w_22	8	99	63	59	65	OK
05:35:53	nelim4_w_22	8	1024	63	59	64	OK
05:37:54	nelim4_w_22	8	31415	63	63	63	OK
05:40:00	nelim4_w_22	8	2718	63	61	64	OK
05:42:01	nelim_all5	6	1	63	58	65	OK
05:44:02	nelim_all5	6	42	63	58	65	OK
05:46:02	nelim_all5	6	7777	63	58	66	OK
05:48:02	nelim_all5	6	13371337	63	58	67	OK
05:50:02	nelim_all5	6	99	63	58	65	OK
05:52:03	nelim_all5	6	1024	63	58	64	OK
05:54:04	nelim_all5	6	31415	63	58	65	OK
05:56:04	nelim_all5	6	2718	63	58	68	OK
05:58:30	nelim_all5	8	1	63	59	65	OK
06:00:49	nelim_all5	8	42	63	61	63	OK
06:02:49	nelim_all5	8	7777	63	60	64	OK
06:04:52	nelim_all5	8	13371337	63	60	65	OK
06:07:14	nelim_all5	8	99	63	62	65	OK
06:09:24	nelim_all5	8	1024	63	60	63	OK
06:11:36	nelim_all5	8	31415	63	59	64	OK
06:14:06	nelim_all5	8	2718	None	None	?	FAIL
