ts	variant	size	seed	init_internal	final_internal	contest_cells	ok
20:49:12	nelim0_w_69	6	7777	None	None	?	FAIL
20:49:12	nelim0_w_69	6	1	None	None	?	FAIL
20:49:12	nelim0_w_69	6	42	None	None	?	FAIL
20:49:12	nelim0_w_69	6	13371337	None	None	?	FAIL
20:49:13	nelim0_w_69	6	99	None	None	?	FAIL
20:49:13	nelim0_w_69	6	31415	None	None	?	FAIL
20:49:13	nelim0_w_69	6	1024	None	None	?	FAIL
20:49:13	nelim0_w_69	6	2718	None	None	?	FAIL
20:49:14	nelim0_w_69	8	1	None	None	?	FAIL
20:49:14	nelim0_w_69	8	7777	None	None	?	FAIL
20:49:14	nelim0_w_69	8	42	None	None	?	FAIL
20:49:14	nelim0_w_69	8	13371337	None	None	?	FAIL
20:49:15	nelim0_w_69	8	31415	None	None	?	FAIL
20:49:15	nelim0_w_69	8	99	None	None	?	FAIL
20:49:15	nelim0_w_69	8	1024	None	None	?	FAIL
20:49:15	nelim0_w_69	8	2718	None	None	?	FAIL
20:49:15	nelim1_w_43	6	1	None	None	?	FAIL
20:49:15	nelim1_w_43	6	42	None	None	?	FAIL
20:49:15	nelim1_w_43	6	7777	None	None	?	FAIL
20:49:15	nelim1_w_43	6	1024	None	None	?	FAIL
20:49:16	nelim1_w_43	6	99	None	None	?	FAIL
20:49:16	nelim1_w_43	6	13371337	None	None	?	FAIL
20:49:16	nelim1_w_43	6	31415	None	None	?	FAIL
20:49:16	nelim1_w_43	8	1	None	None	?	FAIL
20:49:16	nelim1_w_43	6	2718	None	None	?	FAIL
20:49:16	nelim1_w_43	8	42	None	None	?	FAIL
20:49:17	nelim1_w_43	8	13371337	None	None	?	FAIL
20:49:17	nelim1_w_43	8	7777	None	None	?	FAIL
20:49:17	nelim1_w_43	8	99	None	None	?	FAIL
20:49:17	nelim1_w_43	8	1024	None	None	?	FAIL
20:49:17	nelim1_w_43	8	31415	None	None	?	FAIL
20:49:17	nelim1_w_43	8	2718	None	None	?	FAIL
20:49:18	nelim2_w_64	6	1	None	None	?	FAIL
20:49:18	nelim2_w_64	6	42	None	None	?	FAIL
20:49:18	nelim2_w_64	6	7777	None	None	?	FAIL
20:49:18	nelim2_w_64	6	13371337	None	None	?	FAIL
20:49:18	nelim2_w_64	6	99	None	None	?	FAIL
20:49:18	nelim2_w_64	6	1024	None	None	?	FAIL
20:49:19	nelim2_w_64	6	31415	None	None	?	FAIL
20:49:19	nelim2_w_64	6	2718	None	None	?	FAIL
20:49:19	nelim2_w_64	8	1	None	None	?	FAIL
20:49:19	nelim2_w_64	8	42	None	None	?	FAIL
20:49:19	nelim2_w_64	8	7777	None	None	?	FAIL
20:49:19	nelim2_w_64	8	13371337	None	None	?	FAIL
20:49:19	nelim2_w_64	8	99	None	None	?	FAIL
20:49:20	nelim2_w_64	8	1024	None	None	?	FAIL
20:49:20	nelim2_w_64	8	31415	None	None	?	FAIL
20:49:20	nelim2_w_64	8	2718	None	None	?	FAIL
20:49:20	nelim3_w_21	6	1	None	None	?	FAIL
20:49:20	nelim3_w_21	6	42	None	None	?	FAIL
20:49:20	nelim3_w_21	6	7777	None	None	?	FAIL
20:49:21	nelim3_w_21	6	13371337	None	None	?	FAIL
20:49:21	nelim3_w_21	6	99	None	None	?	FAIL
20:49:21	nelim3_w_21	6	1024	None	None	?	FAIL
20:49:21	nelim3_w_21	6	31415	None	None	?	FAIL
20:49:21	nelim3_w_21	6	2718	None	None	?	FAIL
20:49:22	nelim3_w_21	8	1	None	None	?	FAIL
20:49:22	nelim3_w_21	8	42	None	None	?	FAIL
20:49:22	nelim3_w_21	8	7777	None	None	?	FAIL
20:49:22	nelim3_w_21	8	13371337	None	None	?	FAIL
20:49:22	nelim3_w_21	8	1024	None	None	?	FAIL
20:49:22	nelim3_w_21	8	99	None	None	?	FAIL
20:49:23	nelim3_w_21	8	31415	None	None	?	FAIL
20:49:23	nelim3_w_21	8	2718	None	None	?	FAIL
20:49:23	nelim4_w_59	6	1	None	None	?	FAIL
20:49:23	nelim4_w_59	6	13371337	None	None	?	FAIL
20:49:24	nelim4_w_59	6	99	None	None	?	FAIL
20:49:24	nelim4_w_59	6	7777	None	None	?	FAIL
20:49:24	nelim4_w_59	6	42	None	None	?	FAIL
20:49:25	nelim4_w_59	6	1024	None	None	?	FAIL
20:49:25	nelim4_w_59	6	31415	None	None	?	FAIL
20:49:25	nelim4_w_59	8	1	None	None	?	FAIL
20:49:25	nelim4_w_59	6	2718	None	None	?	FAIL
20:49:26	nelim4_w_59	8	7777	None	None	?	FAIL
20:49:26	nelim4_w_59	8	42	None	None	?	FAIL
20:49:26	nelim4_w_59	8	13371337	None	None	?	FAIL
20:49:26	nelim4_w_59	8	99	None	None	?	FAIL
20:49:26	nelim4_w_59	8	31415	None	None	?	FAIL
20:49:26	nelim4_w_59	8	1024	None	None	?	FAIL
20:49:27	nelim4_w_59	8	2718	None	None	?	FAIL
20:49:27	nelim_all5	6	7777	None	None	?	FAIL
20:49:27	nelim_all5	6	1	None	None	?	FAIL
20:49:27	nelim_all5	6	42	None	None	?	FAIL
20:49:28	nelim_all5	6	13371337	None	None	?	FAIL
20:49:28	nelim_all5	6	99	None	None	?	FAIL
20:49:28	nelim_all5	6	1024	None	None	?	FAIL
20:49:28	nelim_all5	6	31415	None	None	?	FAIL
20:49:28	nelim_all5	6	2718	None	None	?	FAIL
20:49:29	nelim_all5	8	1	None	None	?	FAIL
20:49:29	nelim_all5	8	42	None	None	?	FAIL
20:49:29	nelim_all5	8	7777	None	None	?	FAIL
20:49:29	nelim_all5	8	13371337	None	None	?	FAIL
