ts	size	seed	init_internal	final_internal	contest_cells	ok
02:51:22	10	1	64	64	64	OK
02:55:53	10	42	None	None	?	FAIL
03:00:23	10	7777	None	None	?	FAIL
03:04:26	10	13371337	64	64	64	OK
03:08:56	10	99	None	None	?	FAIL
03:12:58	10	1024	64	64	64	OK
03:16:58	10	31415	64	64	64	OK
03:21:01	10	2718	64	64	64	OK
03:25:13	12	1	64	64	64	OK
03:29:20	12	42	64	63	64	OK
03:33:21	12	7777	64	64	64	OK
03:37:27	12	13371337	64	64	64	OK
03:41:29	12	99	64	64	64	OK
03:45:42	12	1024	64	64	64	OK
03:49:51	12	31415	64	64	64	OK
03:53:59	12	2718	64	64	64	OK
