ts	name	script	perm	status	gates	wall_sec	blif_path	notes
2026-04-25T16:21:29	default	fast	0,0.5,1,1.5,2,3,4,6,0,-0.5,-1,-1.5,-2,-3,-4,-6	ok	222	0.3	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/default.blif	
2026-04-25T16:21:29	rev_magnitude	fast	6,4,3,2,1.5,1,0.5,0,-6,-4,-3,-2,-1.5,-1,-0.5,-0	ok	225	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/rev_magnitude.blif	
2026-04-25T16:21:30	gray_magnitude	fast	0,0.5,1.5,1,4,6,3,2,-0,-0.5,-1.5,-1,-4,-6,-3,-2	ok	214	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/gray_magnitude.blif	
2026-04-25T16:21:30	halfints_then_pow2	fast	0,0.5,1.5,3,1,2,4,6,-0,-0.5,-1.5,-3,-1,-2,-4,-6	ok	224	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/halfints_then_pow2.blif	
2026-04-25T16:21:37	ss_(0, 1, 2, 3, 4, 5, 6, 7)	fast	0,0.5,1,1.5,2,3,4,6,-0,-0.5,-1,-1.5,-2,-3,-4,-6	ok	222	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 3, 4, 5, 6, 7).blif	
2026-04-25T16:21:38	ss_(0, 1, 2, 3, 4, 5, 7, 6)	fast	0,0.5,1,1.5,2,3,6,4,-0,-0.5,-1,-1.5,-2,-3,-6,-4	ok	213	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 3, 4, 5, 7, 6).blif	
2026-04-25T16:21:38	ss_(0, 1, 2, 3, 4, 6, 5, 7)	fast	0,0.5,1,1.5,2,4,3,6,-0,-0.5,-1,-1.5,-2,-4,-3,-6	ok	219	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 3, 4, 6, 5, 7).blif	
2026-04-25T16:21:38	ss_(0, 1, 2, 3, 4, 6, 7, 5)	fast	0,0.5,1,1.5,2,4,6,3,-0,-0.5,-1,-1.5,-2,-4,-6,-3	ok	230	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 3, 4, 6, 7, 5).blif	
2026-04-25T16:21:39	ss_(0, 1, 2, 3, 4, 7, 5, 6)	fast	0,0.5,1,1.5,2,6,3,4,-0,-0.5,-1,-1.5,-2,-6,-3,-4	ok	204	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 3, 4, 7, 5, 6).blif	
2026-04-25T16:21:39	ss_(0, 1, 2, 3, 4, 7, 6, 5)	fast	0,0.5,1,1.5,2,6,4,3,-0,-0.5,-1,-1.5,-2,-6,-4,-3	ok	219	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 3, 4, 7, 6, 5).blif	
