ts	perm	script	gates	verify	wall_sec
2026-04-25T16:59:02	0,1,2,3,4,5,7,6	fast	92	OK	0.23
2026-04-25T16:59:03	0,1,2,3,4,5,6,7	fast	93	OK	0.23
2026-04-25T16:59:03	0,1,2,3,4,6,5,7	fast	107	OK	0.23
2026-04-25T16:59:03	0,1,2,3,4,6,7,5	fast	109	OK	0.23
2026-04-25T16:59:03	0,1,2,3,5,4,6,7	fast	94	OK	0.17
2026-04-25T16:59:03	0,1,2,3,5,4,7,6	fast	100	OK	0.17
2026-04-25T16:59:03	0,1,2,3,4,7,6,5	fast	97	OK	0.18
2026-04-25T16:59:03	0,1,2,3,4,7,5,6	fast	104	OK	0.19
2026-04-25T16:59:03	0,1,2,3,5,6,7,4	fast	105	OK	0.21
2026-04-25T16:59:03	0,1,2,3,5,6,4,7	fast	106	OK	0.23
2026-04-25T16:59:03	0,1,2,3,5,7,4,6	fast	109	OK	0.21
2026-04-25T16:59:03	0,1,2,3,5,7,6,4	fast	107	OK	0.20
2026-04-25T16:59:03	0,1,2,3,6,4,5,7	fast	111	OK	0.16
2026-04-25T16:59:03	0,1,2,3,6,5,4,7	fast	99	OK	0.16
2026-04-25T16:59:03	0,1,2,3,6,4,7,5	fast	110	OK	0.16
2026-04-25T16:59:03	0,1,2,3,6,5,7,4	fast	105	OK	0.16
2026-04-25T16:59:03	0,1,2,3,6,7,4,5	fast	93	OK	0.15
2026-04-25T16:59:03	0,1,2,3,6,7,5,4	fast	95	OK	0.16
2026-04-25T16:59:03	0,1,2,3,7,4,5,6	fast	108	OK	0.16
2026-04-25T16:59:03	0,1,2,3,7,4,6,5	fast	106	OK	0.17
2026-04-25T16:59:04	0,1,2,3,7,6,4,5	fast	98	OK	0.16
2026-04-25T16:59:04	0,1,2,3,7,5,4,6	fast	105	OK	0.18
2026-04-25T16:59:04	0,1,2,3,7,5,6,4	fast	112	OK	0.17
2026-04-25T16:59:04	0,1,2,3,7,6,5,4	fast	102	OK	0.17
2026-04-25T16:59:04	0,1,2,4,3,5,6,7	fast	118	OK	0.24
2026-04-25T16:59:04	0,1,2,4,3,6,5,7	fast	111	OK	0.24
2026-04-25T16:59:04	0,1,2,4,3,5,7,6	fast	111	OK	0.26
2026-04-25T16:59:04	0,1,2,4,3,6,7,5	fast	107	OK	0.28
2026-04-25T16:59:04	0,1,2,4,5,3,6,7	fast	122	OK	0.20
2026-04-25T16:59:04	0,1,2,4,3,7,5,6	fast	107	OK	0.22
2026-04-25T16:59:04	0,1,2,4,3,7,6,5	fast	115	OK	0.24
2026-04-25T16:59:04	0,1,2,4,5,3,7,6	fast	117	OK	0.24
2026-04-25T16:59:04	0,1,2,4,5,6,3,7	fast	108	OK	0.21
2026-04-25T16:59:04	0,1,2,4,5,6,7,3	fast	121	OK	0.22
2026-04-25T16:59:04	0,1,2,4,5,7,3,6	fast	115	OK	0.22
2026-04-25T16:59:05	0,1,2,4,5,7,6,3	fast	132	OK	0.23
2026-04-25T16:59:05	0,1,2,4,6,3,5,7	fast	116	OK	0.20
2026-04-25T16:59:05	0,1,2,4,6,3,7,5	fast	100	OK	0.22
2026-04-25T16:59:05	0,1,2,4,6,5,3,7	fast	118	OK	0.21
2026-04-25T16:59:05	0,1,2,4,6,5,7,3	fast	110	OK	0.22
