ts	run_id	start	size	restarts	limit_inputs	seed	budget_s	internal	contest	and2	or2	xor2	not1	status	note	wall_s
1777262452	round1_mut11_s11_s8_seed42	mut11_s11.blif	8	0	none	42	900	67	78	39	13	15	11	ok	translator=legacy	900.7
1777262452	round1_mut11_s13_s8_seed1	mut11_s13.blif	8	0	none	1	900	67	77	38	13	15	11	ok	translator=legacy	900.7
1777262456	round1_mut11_s101_s8_seed42	mut11_s101.blif	8	0	none	42	900	65	77	32	13	20	12	ok	translator=legacy	904.7
1777262458	round1_mut11_s101_s8_seed1	mut11_s101.blif	8	0	none	1	900	67	75	32	13	22	8	ok	translator=legacy	906.7
1777262459	round1_canonical_65_s8_seed1	canonical_65.blif	8	0	none	1	900	58	68	26	11	21	10	ok	translator=legacy	907.5
1777262460	round1_canonical_65_s8_seed42	canonical_65.blif	8	0	none	42	900	58	65	25	12	21	7	ok	translator=legacy	908.9
1777262460	round1_mut11_s13_s8_seed42	mut11_s13.blif	8	0	none	42	900	67	79	40	14	13	12	ok	translator=legacy	909.1
1777262460	round1_canonical_70_s8_seed1	canonical_70.blif	8	0	none	1	900	63	70	29	9	23	9	ok	translator=legacy	909.2
1777262461	round1_canonical_74_s8_seed1	canonical_74.blif	8	0	none	1	900	66	78	33	13	19	13	ok	translator=legacy	909.3
1777262461	round1_mut11_s11_s8_seed1	mut11_s11.blif	8	0	none	1	900	66	76	39	13	14	10	ok	translator=legacy	909.6
1777262463	round1_mut11_s101_s10_seed1	mut11_s101.blif	10	0	none	1	900	72	80	37	14	16	13	ok	translator=legacy	911.4
1777262463	round1_mut11_s11_s10_seed1	mut11_s11.blif	10	0	none	1	900	74	81	38	15	13	15	ok	translator=legacy	911.5
1777262464	round1_canonical_70_s8_seed42	canonical_70.blif	8	0	none	42	900	61	70	30	11	20	9	ok	translator=legacy	912.3
1777262465	round1_mut11_s11_s10_seed42	mut11_s11.blif	10	0	none	42	900	72	80	40	13	15	12	ok	translator=legacy	914.1
1777262470	round1_canonical_74_s10_seed42	canonical_74.blif	10	0	none	42	900	69	72	34	13	19	6	ok	translator=legacy	918.8
1777262478	round1_canonical_74_s8_seed42	canonical_74.blif	8	0	none	42	900	64	74	34	11	18	11	ok	translator=legacy	926.7
1777262478	round1_mut11_s101_s10_seed42	mut11_s101.blif	10	0	none	42	900	72	80	38	15	16	11	ok	translator=legacy	927.2
1777262489	round1_canonical_70_s10_seed42	canonical_70.blif	10	0	none	42	900	64	69	30	12	19	8	ok	translator=legacy	938.0
1777262502	round1_canonical_70_s10_seed1	canonical_70.blif	10	0	none	1	900	66	70	29	9	23	9	ok	translator=legacy	950.5
1777262521	round1_canonical_74_s10_seed1	canonical_74.blif	10	0	none	1	900	71	74	36	13	17	8	ok	translator=legacy	969.4
1777262530	round1_canonical_65_s10_seed42	canonical_65.blif	10	0	none	42	900	60	66	26	12	20	8	ok	translator=legacy	978.8
1777262567	round1_canonical_65_s10_seed1	canonical_65.blif	10	0	none	1	900	63	66	26	12	21	7	ok	translator=legacy	1015.8
1777263360	round1_mut11_s17_s8_seed1	mut11_s17.blif	8	0	none	1	900	67	80	36	13	18	13	ok	translator=legacy	903.6
1777263360	round1_mut11_s17_s8_seed42	mut11_s17.blif	8	0	none	42	900	65	76	34	12	19	11	ok	translator=legacy	901.8
1777263363	round1_mut11_s17_s10_seed42	mut11_s17.blif	10	0	none	42	900	69	78	35	11	22	10	ok	translator=legacy	902.6
1777263365	round1_mut11_s1_s8_seed1	mut11_s1.blif	8	0	none	1	900	63	73	35	13	15	10	ok	translator=legacy	904.7
1777263375	round1_mut11_s13_s10_seed42	mut11_s13.blif	10	0	none	42	900	71	79	38	14	15	12	ok	translator=legacy	923.3
1777264575	round1_mut11_s23_s8_seed42	mut11_s23.blif	8	0	none	42	900	65	75	32	11	22	10	ok	translator=legacy	900.8
1777264577	round1_mut11_s313_s8_seed1	mut11_s313.blif	8	0	none	1	900	67	77	32	11	24	10	ok	translator=legacy	903.2
1777264577	round1_mut11_s211_s8_seed1	mut11_s211.blif	8	0	none	1	900	67	78	34	12	21	11	ok	translator=legacy	903.2
1777264577	round1_mut11_s23_s8_seed1	mut11_s23.blif	8	0	none	1	900	67	80	36	13	18	13	ok	translator=legacy	903.4
1777264578	round1_mut11_s2_s8_seed42	mut11_s2.blif	8	0	none	42	900	62	74	31	11	20	12	ok	translator=legacy	903.9
1777264579	round1_mut11_s211_s10_seed42	mut11_s211.blif	10	0	none	42	900	70	76	36	14	17	9	ok	translator=legacy	905.0
1777264580	round1_mut11_s2_s8_seed1	mut11_s2.blif	8	0	none	1	900	65	79	35	7	23	14	ok	translator=legacy	906.0
1777264580	round1_mut11_s211_s8_seed42	mut11_s211.blif	8	0	none	42	900	66	78	36	14	16	12	ok	translator=legacy	906.0
1777264581	round1_mut11_s1_s8_seed42	mut11_s1.blif	8	0	none	42	900	64	75	32	14	18	11	ok	translator=legacy	907.1
1777264581	round1_mut11_s23_s10_seed42	mut11_s23.blif	10	0	none	42	900	70	79	35	13	20	11	ok	translator=legacy	907.3
1777264586	round1_mut11_s2_s10_seed42	mut11_s2.blif	10	0	none	42	900	76	81	37	16	19	9	ok	translator=legacy	911.8
1777264587	round1_mut11_s1_s10_seed1	mut11_s1.blif	10	0	none	1	900	70	75	34	11	20	10	ok	translator=legacy	912.6
1777264587	round1_mut11_s2_s10_seed1	mut11_s2.blif	10	0	none	1	900	78	81	37	13	20	11	ok	translator=legacy	912.7
1777264590	round1_mut11_s1_s10_seed42	mut11_s1.blif	10	0	none	42	900	71	76	37	12	17	10	ok	translator=legacy	915.7
1777264593	round1_mut11_s13_s10_seed1	mut11_s13.blif	10	0	none	1	900	73	81	38	15	13	15	ok	translator=legacy	919.0
1777264594	round1_mut11_s211_s10_seed1	mut11_s211.blif	10	0	none	1	900	69	80	37	12	19	12	ok	translator=legacy	920.0
1777264621	round1_mut11_s17_s10_seed1	mut11_s17.blif	10	0	none	1	900	85	82	40	15	16	11	ok	translator=legacy	947.3
1777264655	round1_mut11_s23_s10_seed1	mut11_s23.blif	10	0	none	1	900	85	82	40	15	16	11	ok	translator=legacy	980.9
